Variable	Units	Type	Description
co2	mg m-3	Smp	LI-7500 carbon dioxide mass density
diag_csat	unitless	Smp	CSAT3 diagnostic word
diag_irga	unitless	Smp	
e_hmp	kPa	Smp	HMP45C vapour pressure
h2o	g m-3	Smp	LI-7500 water vapour mass density
n2o	µmol mol-1	Smp	
press	kPa	Smp	LI-7500 system pressure
RECORD	RN		Record number from the starting date
t_hmp	°C	Smp	HMP45C temperature
TIMESTAMP	TS		Sampling time in format YYYY-MM-dd hh:mm:ss
Ts	°C	Smp	Sonic temperature
Ux	m s-1	Smp	Horizontal wind in the x-axis (sonic coordinate system)
Uy	m s-1	Smp	Horizontal wind in the y-axis (sonic coordinate system)
Uz	m s-1	Smp	Vertical wind (sonic coordinate system)
